Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Other Police,Female,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,West,Autumn
Sheriff,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,42,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Summer
Sheriff,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,46,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Sheriff,Male,13,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Female,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Spring
Municipal Police,Male,26,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Male,44,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Male,54,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Municipal Police,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,50,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Female,20,Not Hispanic,Female,Not Hispanic,Firearm,Family,South,Spring
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,24,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Female,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Female,23,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Spring
Municipal Police,Male,22,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Female,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Male,52,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Spring
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,61,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Male,30,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,46,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,63,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,46,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Summer
Municipal Police,Female,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,35,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Summer
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Female,35,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Female,70,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,58,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Female,60,Not Hispanic,Female,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,16,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Female,28,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,72,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,28,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Summer
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Municipal Police,Male,31,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Male,53,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,19,Not Hispanic,Male,Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,57,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Municipal Police,Male,79,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Female,51,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Female,69,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Male,51,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,31,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
