Experiment,Learning Rate,Max Depth,Scale Pos Weight,Precision Non-Firearm,Recall Non-Firearm,F1 Non-Firearm,Precision Firearm,Recall Firearm,F1 Firearm,Accuracy
Label_Encoding_Without SMOTE_LR0.3_MD3_SPW1,0.3,3,1.0,0.656322505800464,0.223948540326571,0.33394820334981185,0.712272977435333,0.9424701427323041,0.8113597893548994,0.7059896427059245
Label_Encoding_Without SMOTE_LR0.3_MD3_SPW0.4905717170932536,0.3,3,0.4905717170932536,0.4688383045525903,0.5910935180603661,0.5229152987524622,0.7699716083059622,0.671472958539664,0.7173569150177641,0.645018402110543
Label_Encoding_Without SMOTE_LR0.3_MD5_SPW1,0.3,5,1.0,0.6513031550068588,0.23493320138545273,0.3453090909090909,0.7142804346219233,0.9382949800951549,0.8111045828437132,0.7068038953848158
Label_Encoding_Without SMOTE_LR0.3_MD5_SPW0.4905717170932536,0.3,5,0.4905717170932536,0.46962430055955234,0.5813953488372093,0.5195666592969268,0.7674929918100368,0.6778813477036606,0.7199092573019514,0.6461257857538352
Label_Encoding_Without SMOTE_LR0.3_MD6_SPW1,0.3,6,1.0,0.6424242424242425,0.2412666996536368,0.35079136690647483,0.7150661513304594,0.9341198174580057,0.810045046941439,0.7060873530273915
Label_Encoding_Without SMOTE_LR0.3_MD6_SPW0.4905717170932536,0.3,6,0.4905717170932536,0.4677628381662077,0.5714992577931717,0.514453699167075,0.7641226779974941,0.6809884454801437,0.7201642921319471,0.6449532618962316
Label_Encoding_Without SMOTE_LR0.1_MD3_SPW1,0.1,3,1.0,0.680186170212766,0.2024740227610094,0.3120567375886525,0.7090088463621592,0.9532964365472376,0.8132027415981612,0.7061850633488584
Label_Encoding_Without SMOTE_LR0.1_MD3_SPW0.4905717170932536,0.1,3,0.4905717170932536,0.46624902114330463,0.589213260761999,0.520568306010929,0.7685272960463949,0.6690940868045442,0.7153720380991928,0.6428036348239585
Label_Encoding_Without SMOTE_LR0.1_MD5_SPW1,0.1,5,1.0,0.6626865671641791,0.21969322117763485,0.32998885172798215,0.711731802727306,0.9451403048839693,0.8119955788200455,0.7063804839917923
Label_Encoding_Without SMOTE_LR0.1_MD5_SPW0.4905717170932536,0.1,5,0.4905717170932536,0.47095485417499,0.5832756061355765,0.521131741821397,0.7684737189355619,0.6785610253422663,0.7207239725674213,0.6472005992899716
Label_Encoding_Without SMOTE_LR0.1_MD6_SPW1,0.1,6,1.0,0.6522593320235757,0.22998515586343393,0.34006438396254024,0.713301400147384,0.9398485289833964,0.8110519921236751,0.7062176334560141
Label_Encoding_Without SMOTE_LR0.1_MD6_SPW0.4905717170932536,0.1,6,0.4905717170932536,0.4707867877521498,0.5797130133597229,0.519602625510023,0.7674151150054764,0.680308767841538,0.7212414432034587,0.6472005992899716
Label_Encoding_Without SMOTE_LR0.01_MD3_SPW1,0.01,3,1.0,0.834061135371179,0.05670460168233548,0.10618977020014826,0.6824360341151386,0.9944654820856393,0.8094203184889556,0.6858287463765755
Label_Encoding_Without SMOTE_LR0.01_MD3_SPW0.4905717170932536,0.01,3,0.4905717170932536,0.44212344903408196,0.5571499257793172,0.49301633171329745,0.750959986643664,0.6551121468103699,0.6997692327637618,0.6228707292446992
Label_Encoding_Without SMOTE_LR0.01_MD5_SPW1,0.01,5,1.0,0.814922480620155,0.08322612568035626,0.1510281045164766,0.6877759428398099,0.990727255073308,0.8119119139032008,0.6920496368433052
Label_Encoding_Without SMOTE_LR0.01_MD5_SPW0.4905717170932536,0.01,5,0.4905717170932536,0.4547245586118057,0.5938644235526966,0.5150630847137585,0.7655660916257283,0.6506456937566754,0.7034432080621457,0.6319577891411263
Label_Encoding_Without SMOTE_LR0.01_MD6_SPW1,0.01,6,1.0,0.7883320867614061,0.10430479960415635,0.1842335256074113,0.691786419669005,0.9862608020196135,0.8131854935553599,0.6959906198091391
Label_Encoding_Without SMOTE_LR0.01_MD6_SPW0.4905717170932536,0.01,6,0.4905717170932536,0.4655828707375099,0.5809995051954479,0.5169271406559542,0.7659868457414469,0.6728323138168755,0.7163939934351659,0.6426082141810247
Label_Encoding_With SMOTE_LR0.3_MD3_SPW1,0.3,3,1.0,0.47524668971915324,0.5576447303315191,0.5131590929787815,0.7628143903215536,0.6979318380425285,0.7289321569820505,0.651760414291763
Label_Encoding_With SMOTE_LR0.3_MD3_SPW0.4905717170932536,0.3,3,0.4905717170932536,0.37056988942444,0.9053933696190005,0.5258952692993045,0.8410375789823744,0.24555782114768424,0.3801292649932361,0.4627235123603557
Label_Encoding_With SMOTE_LR0.3_MD5_SPW1,0.3,5,1.0,0.47917389795209997,0.5464621474517566,0.5106107540801701,0.761040721622608,0.7086124866491892,0.7338914448047867,0.6552454157574178
