Experiment,Learning Rate,Max Depth,Scale Pos Weight,Precision Non-Firearm,Recall Non-Firearm,F1 Non-Firearm,Precision Firearm,Recall Firearm,F1 Firearm,Accuracy
One-Hot_Encoding_Without SMOTE_LR0.3_MD3_SPW1,0.3,3,1.0,0.6870517176292941,0.1801088570014844,0.2854006586169045,0.7046766949454624,0.9597533741139916,0.8126695716517307,0.7031560433833828
One-Hot_Encoding_Without SMOTE_LR0.3_MD3_SPW0.4905717170932536,0.3,3,0.4905717170932536,0.4616897419760856,0.580801583374567,0.5144409869833896,0.7645489411372353,0.6677832799300903,0.7128974578247688,0.6391557828225255
One-Hot_Encoding_Without SMOTE_LR0.3_MD5_SPW1,0.3,5,1.0,0.6566246541653858,0.21138050470064323,0.31980835454409345,0.7096903460837887,0.9457714341198175,0.8108974358974359,0.704068006383741
One-Hot_Encoding_Without SMOTE_LR0.3_MD5_SPW0.4905717170932536,0.3,5,0.4905717170932536,0.46205760025111825,0.5826818406729342,0.5154061624649859,0.7652004454342984,0.6672006990969997,0.7128481767726542,0.639383773572615
One-Hot_Encoding_Without SMOTE_LR0.3_MD6_SPW1,0.3,6,1.0,0.6431870669745958,0.22048490846115784,0.3283956076350505,0.7108190462204926,0.9399941741916691,0.8094989234274724,0.7031886134905384
One-Hot_Encoding_Without SMOTE_LR0.3_MD6_SPW0.4905717170932536,0.3,6,0.4905717170932536,0.4628217349857007,0.5765462642256308,0.5134623011501344,0.7637869169196798,0.6717157005534518,0.7147986464495131,0.6403934468944403
One-Hot_Encoding_Without SMOTE_LR0.1_MD3_SPW1,0.1,3,1.0,0.7187326292384658,0.12795645719940624,0.21723790322580644,0.6951287019097703,0.97543450820468,0.8117651812047998,0.6965117415236296
One-Hot_Encoding_Without SMOTE_LR0.1_MD3_SPW0.4905717170932536,0.1,3,0.4905717170932536,0.44559585492227977,0.5872340425531914,0.5067030996499018,0.7600943287702749,0.6415671424410136,0.6958192923336142,0.6236849819235906
One-Hot_Encoding_Without SMOTE_LR0.1_MD5_SPW1,0.1,5,1.0,0.6914563966356795,0.1545769421078674,0.2526690391459075,0.6996554633666151,0.9661617632779882,0.8115900656580074,0.6990522098817705
One-Hot_Encoding_Without SMOTE_LR0.1_MD5_SPW0.4905717170932536,0.1,5,0.4905717170932536,0.4521620183904552,0.5888174171202375,0.5115199449793673,0.7631668946648427,0.6500145645208273,0.7020607204656284,0.6298733022831645
One-Hot_Encoding_Without SMOTE_LR0.1_MD6_SPW1,0.1,6,1.0,0.6875264270613107,0.16091044037605146,0.2607858861267041,0.7007904580422049,0.9641227303621711,0.811631518718326,0.6997687522391949
One-Hot_Encoding_Without SMOTE_LR0.1_MD6_SPW0.4905717170932536,0.1,6,0.4905717170932536,0.4528101802757158,0.591588322612568,0.5129789333676578,0.7641849037197874,0.649286338479464,0.7020656710149873,0.630296713676188
One-Hot_Encoding_Without SMOTE_LR0.01_MD3_SPW1,0.01,3,1.0,0.896358543417367,0.03166749134092034,0.061173771745364175,0.677552230936532,0.9982037090979706,0.8072000628140703,0.6800964075171807
One-Hot_Encoding_Without SMOTE_LR0.01_MD3_SPW0.4905717170932536,0.01,3,0.4905717170932536,0.42509809417040356,0.6003958436417615,0.497764286007302,0.7542450246485303,0.6016603553743082,0.6693672526938346,0.601244178093346
One-Hot_Encoding_Without SMOTE_LR0.01_MD5_SPW1,0.01,5,1.0,0.8628230616302187,0.042949035131123206,0.08182503770739065,0.6797682119205298,0.9966501602097291,0.8082601677231387,0.6827671563039442
